date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2018-10-01,Y60,"MIDLANDS COMMISSIONING REGION",455383,5282057.98,0,0
2018-10-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",482658,4475784.41,0,0
2018-11-01,Y58,"SOUTH WEST COMMISSIONING REGION",238364,2464974.46,0,0
2018-11-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",269482,2715656.32,0,0
2018-11-01,Y56,"LONDON COMMISSIONING REGION",279212,2779669.87,0,0
2018-11-01,Y59,"SOUTH EAST COMMISSIONING REGION",318306,3734138.2,0,0
2018-11-01,Y62,"NORTH WEST COMMISSIONING REGION",378943,3572115.65,0,0
2018-11-01,Y60,"MIDLANDS COMMISSIONING REGION",444207,4890115,0,0
2018-11-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",469242,4160756.37,0,0
2018-12-01,Y58,"SOUTH WEST COMMISSIONING REGION",237840,2492806.89,0,0
2018-12-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",271429,2770562.58,0,0
2018-12-01,Y56,"LONDON COMMISSIONING REGION",275938,2774574.08,0,0
2018-12-01,Y59,"SOUTH EAST COMMISSIONING REGION",322137,3800278.98,0,0
2018-12-01,Y62,"NORTH WEST COMMISSIONING REGION",373249,3538238.27,0,0
2018-12-01,Y60,"MIDLANDS COMMISSIONING REGION",443103,4877007.24,0,0
2018-12-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",469784,4159755.92,0,0
2019-01-01,Y58,"SOUTH WEST COMMISSIONING REGION",241675,2494585.34,0,0
2019-01-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",275346,2767771.23,0,0
2019-01-01,Y56,"LONDON COMMISSIONING REGION",289889,2878592.12,0,0
2019-01-01,Y59,"SOUTH EAST COMMISSIONING REGION",325814,3790749.56,0,0
2019-01-01,Y62,"NORTH WEST COMMISSIONING REGION",384661,3618649.33,0,0
2019-01-01,Y60,"MIDLANDS COMMISSIONING REGION",456350,4913592.48,0,0
2019-01-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",480987,4209445.64,0,0
2019-02-01,Y58,"SOUTH WEST COMMISSIONING REGION",217161,2245968.31,0,0
2019-02-01,Y56,"LONDON COMMISSIONING REGION",249399,2503309.93,0,0
2019-02-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",249590,2504082.92,0,0
2019-02-01,Y59,"SOUTH EAST COMMISSIONING REGION",290236,3401412.96,0,0
2019-02-01,Y62,"NORTH WEST COMMISSIONING REGION",333610,3170793.14,0,0
2019-02-01,Y60,"MIDLANDS COMMISSIONING REGION",406750,4442525.45,0,0
2019-02-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",429741,3747539,0,0
2019-03-01,Y58,"SOUTH WEST COMMISSIONING REGION",234585,2472655.62,0,0
